,Drug,Threshold,Feature,ACC_train,F1_train,ACC1_2,ACC_w3_4,F1_w1_2,F1_w3_4
0,Idelalisib,0.947315102397624,Mut,0.6063482343335375,0.3529411764705882,0.43478260869565216,0.5415416354088523,0.0,0.21428571428571427
1,Idelalisib,0.947315102397624,Mut,0.5701863354037267,0.2619047619047619,0.45652173913043476,0.5339459864966242,0.0,0.18518518518518515
2,Idelalisib,0.947315102397624,Mut,0.6143195666892349,0.3777777777777778,0.577639751552795,0.5258814703675919,0.3333333333333333,0.17857142857142855
3,Idelalisib,0.947315102397624,Mut,0.6167115902964959,0.38202247191011235,0.6211180124223603,0.5567329332333083,0.4,0.26666666666666666
4,Idelalisib,0.947315102397624,Mut,0.5928571428571429,0.3132530120481928,0.5993788819875776,0.5303825956489122,0.36363636363636365,0.15686274509803924
5,Idelalisib,0.947315102397624,Mut,0.6135835384194694,0.372093023255814,0.5,0.5263503375843961,0.0,0.15384615384615385
6,Idelalisib,0.947315102397624,Mut,0.6137544435329505,0.3777777777777778,0.41304347826086957,0.5612340585146287,0.0,0.2545454545454546
7,Idelalisib,0.947315102397624,Mut,0.6191374663072776,0.39130434782608686,0.43478260869565216,0.5804576144036009,0.0,0.3103448275862069
8,Idelalisib,0.947315102397624,Mut,0.5857142857142857,0.2926829268292683,0.4782608695652174,0.52231807951988,0.0,0.1509433962264151
9,Idelalisib,0.947315102397624,Mut,0.5981572705710637,0.33333333333333326,0.4772727272727273,0.5106901725431358,0.0,0.11538461538461539
10,Idelalisib,0.947315102397624,Expr,1.0,1.0,0.6178571428571429,0.6421375921375921,0.4,0.4778761061946903
11,Idelalisib,0.947315102397624,Expr,1.0,1.0,0.5428571428571429,0.6192874692874692,0.30769230769230765,0.45901639344262296
12,Idelalisib,0.947315102397624,Expr,1.0,1.0,0.5,0.6011056511056512,0.0,0.4444444444444444
13,Idelalisib,0.947315102397624,Expr,1.0,1.0,0.5714285714285714,0.6561425061425061,0.25,0.4897959183673469
14,Idelalisib,0.947315102397624,Expr,1.0,1.0,0.49642857142857144,0.6288697788697789,0.18181818181818182,0.46153846153846156
15,Idelalisib,0.947315102397624,Expr,1.0,1.0,0.6892857142857143,0.637960687960688,0.5454545454545454,0.47058823529411764
16,Idelalisib,0.947315102397624,Expr,1.0,1.0,0.4714285714285714,0.6470515970515971,0.16666666666666666,0.48
